Name,Administration,Pop2014,Pop2019,city,city2,city3,city4,1,2,3
Cervonohrad,LVI,67993,66504,Chervonohrad,XYZ123,NA,Chervonograd,NA,NA,NA
Kalus,IVA,67559,66406,Kalush,XYZ123,NA,NA,Malin,Kanev,NA
Pervomajsk,MYK,66672,64909,Pervomaisk,XYZ123,NA,Pervomaysk,NA,NA,NA
Dovzansk,LUH,64895,63358,Dovzhansk,Sverdlovsk,Sverdlovsk / Dolzhansk,NA,NA,NA,NA
Korosten,ZYT,65454,63300,Korosten,XYZ123,NA,NA,NA,NA,NA
Pokrovsk,DON,64533,62449,Pokrovsk,Krasnoarmijsk,Pokrovsk / Krasnoarmeysk,NA,NA,NA,NA
Boryspil,KYI,60160,62281,Boryspil,XYZ123,NA,Borispol,NA,NA,NA
Kolomyja,IVA,61350,61269,Kolomyia,XYZ123,NA,Kolomyya,NA,NA,NA
Stryj,LVI,59835,59488,Stryi,XYZ123,NA,Stry,NA,NA,NA
Cornomorsk,ODE,59840,59261,Chornomorsk,Illicivsk,Chernomorsk / Ilichevsk,NA,NA,NA,NA
Rubizne,LUH,59951,57299,Rubizhne,XYZ123,NA,Rubezhnoe,NA,NA,NA
Charcyzk,DON,58641,56861,Khartsyzk,XYZ123,NA,NA,NA,NA,NA
Druzkivka,DON,59596,56842,Druzhkivka,XYZ123,NA,Druzhkovka,NA,NA,NA
Irpin,KYI,44023,56806,Irpin,XYZ123,NA,NA,Malin,Irpen,NA
Novohrad-Volynskyj,ZYT,56049,56108,Novohrad-Volynskyi,XYZ123,NA,Novograd-Volynsky,NA,NA,NA
Lozova,CHA,57916,55255,XYZ123,XYZ123,NA,Lozovaya,NA,NA,NA
Chystjakove,DON,56993,54339,Khystyakove,Torez,NA,NA,NA,NA,NA
Pryluky,CNH,58202,54167,XYZ123,XYZ123,NA,Priluki,NA,NA,NA
Enerhodar,ZAP,54536,53567,Enerhodar,XYZ123,NA,Energodar,NA,NA,NA
Antracyt,LUH,54242,52749,Antratsyt,XYZ123,NA,Antratsit,NA,NA,NA
Novovolynsk,VOL,53298,51564,Novovolynsk,XYZ123,NA,NA,NA,NA,NA
Horisni Plavni,POL,51958,51215,Horishni Plavni,Komsomolsk,Gorishnie Plavni / Komsomolsk,NA,NA,NA,NA
Bilhorod-Dnistrovskyj,ODE,50105,48967,Bilhorod-Dnistrovskyi,XYZ123,NA,Belgorod-Dnestrovsky,NA,NA,NA
Sachtarsk,DON,50468,48759,Shakhtarsk,XYZ123,NA,NA,Shakhtersk,NA,NA
Myrnohrad,DON,49519,47957,XYZ123,Dymytrov,NA,NA,NA,NA,NA
Ochtyrka,SUM,48881,47829,Okhtyrka,XYZ123,NA,Akhtyrka,NA,NA,NA
Izjum,CHA,51175,47430,Izium,XYZ123,NA,Izyum,NA,NA,NA
Marhanec,DNI,48345,46616,Marhanets,XYZ123,NA,NA,Marganets,NA,NA
Snizne,DON,48003,46377,Snizhne,XYZ123,NA,NA,Snezhnoe,NA,NA
Fastiv,KYI,48098,45907,XYZ123,XYZ123,NA,Fastov,NA,NA,NA
