Name,Administration,Pop2010,Pop2019,Region,city,city2
Selechov,IRK,47943,48460,Siberia,Shelekhov,XYZ123
Kurganinsk,KND,47970,48439,Southern,XYZ123,XYZ123
Kasira,MOS,52339,48016,Central,Kashira,Ozerelje
Megion,TUM,49449,47332,Ural,XYZ123,XYZ123
Talnach,KNJ,47307,47307,Siberia,Talnakh,XYZ123
Livny,ORL,50343,47179,Central,XYZ123,XYZ123
Otradnyj,SAM,48356,47083,Volga,Otradny,XYZ123
Doneck,ROS,50098,46899,Southern,Donetsk,XYZ123
Kotelniki,MOS,32338,46763,Central,Kotelniki,XYZ123
Sajanogorsk,CKS,49887,46709,Siberia,Sayanogorsk,XYZ123
Grjazi,LIP,46807,46608,Central,Gryazi,XYZ123
Birsk,BAS,41635,46362,Volga,XYZ123,XYZ123
Zarinsk,ALT,48461,46254,Siberia,XYZ123,XYZ123
Vysnij Volocek,TVE,52370,46211,Central,Vyshny Volochyok,XYZ123
Kingisepp,LEN,48488,45858,North West,XYZ123,XYZ123
Berezovskij,KEM,47279,45801,Siberia,Beryozovsky,XYZ123
Nachabino,MOS,36456,45667,Central,Nakhabino,XYZ123
Torzok,TVE,47644,45371,Central,Torzhok,XYZ123
Kanas,CUV,45607,45222,Volga,Kanash,XYZ123
Aksaj,ROS,41969,45158,Southern,Aksay,XYZ123
Nadym,TUM,46611,44705,Ural,XYZ123,XYZ123
Langepas,TUM,41670,44582,Ural,XYZ123,XYZ123
Ruzajevka,MOR,47523,44504,Volga,Ruzayevka,XYZ123
Volchov,LEN,47182,44487,North West,Volkhov,XYZ123
Kanevskaja,KND,44386,44240,Southern,Kanevskaya,XYZ123
Cusovoj,PER,46735,44185,Volga,Chusovoy,XYZ123
Kimry,TVE,49628,44125,Central,XYZ123,XYZ123
Kujbysev,NSB,45299,43796,Siberia,Kuybyshev,XYZ123
Raduznyj,TUM,43399,43726,Ural,Raduzhny,XYZ123
Jarcevo,SMO,47848,43280,Central,Yartsevo,XYZ123
Rasskazovo,TAM,45484,42767,Central,XYZ123,XYZ123
Kolcugino,VLA,45776,42708,Central,Kolchugino,XYZ123
Krasnoznamensk,MOS,36103,42472,Central,XYZ123,Golicyno-2
Korenovsk,KND,41166,42174,Southern,XYZ123,XYZ123
Mozdok,SOE,38768,42155,Northern Caucasus,XYZ123,XYZ123
Osinniki,KEM,46001,41887,Siberia,XYZ123,XYZ123
Safonovo,SMO,46116,41510,Central,XYZ123,XYZ123
Verchnjaja Salda,SVE,46221,41484,Ural,Verkhnyaya Salda,XYZ123
Moncegorsk,MUR,45361,41482,North West,Monchegorsk,XYZ123
Karabulak,ING,30961,41469,Northern Caucasus,XYZ123,XYZ123
Satka,CEL,45178,41339,Ural,XYZ123,XYZ123
Sebekino,BEL,44279,41336,Central,Shebekino,XYZ123
Tulun,IRK,44611,41279,Siberia,XYZ123,XYZ123
Strezevoj,TOM,42219,41230,Siberia,Strezhevoy,XYZ123
Ust-Kut,IRK,45375,41149,Siberia,XYZ123,XYZ123
Temrjuk,KND,38046,41133,Southern,Temryuk,XYZ123
Myski,KEM,43038,40991,Siberia,XYZ123,XYZ123
Cebarkul,CEL,42844,40932,Ural,Chebarkul,XYZ123
Pugacev,SAR,41707,40927,Volga,Pugachyov,XYZ123
Ljantor,TUM,38992,40867,Ural,Lyantor,XYZ123
Kamen-na-Obi,ALT,43888,40647,Siberia,Kamen-na-Obi,XYZ123
Sosnovoborsk,KNJ,33091,40614,Siberia,XYZ123,XYZ123
