Name,Administration,Pop2010,Pop2019,Region,city,city2,1,2,3,4
Evpatorija,NA,NA,107000,Crim,Yevpatoria,XYZ123,Evpatoria,NA,NA,NA
Reutov,MOS,87314,106962,Central,XYZ123,XYZ123,NA,NA,NA,NA
Puskino,MOS,102874,106836,Central,Pushkino,XYZ123,Pushkin,NA,NA,NA
Artem,PRI,102603,106460,Far East,Artyom,XYZ123,NA,NA,NA,NA
Nojabrsk,TUM,110620,106135,Ural,Noyabrsk,XYZ123,NA,NA,NA,NA
Acinsk,KNJ,109155,105092,Siberia,Achinsk,XYZ123,NA,NA,NA,NA
Berdsk,NSB,97296,104237,Siberia,XYZ123,XYZ123,NA,NA,NA,NA
Arzamas,NNO,106362,103930,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Jelec,LIP,108404,103179,Central,Yelets,XYZ123,NA,NA,NA,NA
Elista,KMK,103749,102618,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Noginsk,MOS,100072,102295,Central,XYZ123,XYZ123,NA,NA,NA,NA
Sergijev Posad,MOS,111179,101967,Central,Sergiyev Posad,Zagorsk,Sergiev Posad,NA,NA,NA
Novokujbysevsk,SAM,108438,100940,Volga,Novokuybyshevsk,XYZ123,NA,NA,NA,NA
Zeleznogorsk,KRS,95049,100499,Central,Zheleznogorsk,XYZ123,NA,NA,NA,NA
Zelenodolsk,TAT,97674,99743,Volga,Zelenodolsk,XYZ123,NA,NA,NA,NA
Chanty-Mansijsk,TUM,80151,99385,Ural,Khanty-Mansiysk,XYZ123,NA,NA,NA,NA
Tobolsk,TUM,99694,98857,Ural,Tobolsk,XYZ123,NA,NA,NA,NA
Votkinsk,UDM,99022,97345,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Serov,SVE,99373,96613,Ural,XYZ123,XYZ123,NA,NA,NA,NA
Sarapul,UDM,101381,96361,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Mezdurecensk,KEM,101678,96159,Siberia,Mezhdurechensk,XYZ123,NA,NA,NA,NA
Uchta,KOM,99591,95960,North West,Ukhta,XYZ123,NA,NA,NA,NA
Sarov,NNO,92047,95469,Volga,XYZ123,Arzamas-16,NA,NA,NA,NA
Leninsk-Kuzneckij,KEM,101666,95279,Siberia,Leninsk-Kuznetsky,XYZ123,NA,NA,NA,NA
Gatcina,LEN,92937,93710,North West,Gatchina,XYZ123,NA,NA,NA,NA
Michajlovsk,STA,70981,93658,Northern Caucasus,Mikhaylovsk,XYZ123,NA,NA,NA,NA
Voskresensk,MOS,91464,93205,Central,XYZ123,XYZ123,NA,NA,NA,NA
Solikamsk,PER,97384,93118,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Glazov,UDM,95854,92381,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Magadan,MAG,95982,91781,Far East,XYZ123,XYZ123,NA,NA,NA,NA
Micurinsk,TAM,98758,91623,Central,Michurinsk,XYZ123,NA,NA,NA,NA
Velikije Luki,PSK,98778,90549,North West,Velikiye Luki,XYZ123,Velikie Luki,NA,NA,NA
Lobnja,MOS,74252,89339,Central,Lobnya,XYZ123,NA,NA,NA,NA
Kansk,KNJ,94226,89111,Siberia,XYZ123,XYZ123,NA,NA,NA,NA
Kamensk-Sachtinskij,ROS,95296,88319,Southern,Kamensk-Shakhtinsky,XYZ123,NA,NA,NA,NA
Kiselevsk,KEM,98365,88192,Siberia,Kiselyovsk,XYZ123,Kireevsk,NA,NA,NA
Gubkin,BEL,88560,86422,Central,XYZ123,XYZ123,NA,NA,NA,NA
Buzuluk,ORB,82904,86050,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Novotroick,ORB,98173,84897,Volga,Novotroitsk,XYZ123,NA,NA,NA,NA
Bugulma,TAT,89204,83536,Volga,Bugulma,XYZ123,NA,NA,NA,NA
Zeleznogorsk,KNJ,84795,83386,Siberia,Zheleznogorsk,Krasnojarsk-26,NA,NA,NA,NA
Jejsk,KND,87769,83053,Southern,Yeysk,XYZ123,NA,NA,NA,NA
Cajkovskij,PER,82895,82656,Volga,Chaykovsky,XYZ123,NA,NA,NA,NA
Kinesma,IVA,88164,81986,Central,Kineshma,XYZ123,NA,NA,NA,NA
Anapa,KND,58990,81447,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Ust-Ilimsk,IRK,86610,81081,Siberia,XYZ123,XYZ123,NA,NA,NA,NA
Jurga,KEM,81533,81073,Siberia,Yurga,XYZ123,NA,NA,NA,NA
Kuzneck,PEN,88839,81027,Volga,Kuznetsk,XYZ123,NA,NA,NA,NA
Novouralsk,SVE,85522,80723,Ural,Novouralsk,Sverdlovsk-44,NA,NA,NA,NA
Azov,ROS,82937,80286,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Klin,MOS,80585,79387,Central,XYZ123,XYZ123,NA,NA,NA,NA
Ivantejevka,MOS,58626,79346,Central,Ivanteyevka,XYZ123,Ivanteevka,NA,NA,NA
Ozersk,CEL,82164,78811,Ural,Ozyorsk,Celabinsk-65,NA,NA,NA,NA
Kropotkin,KND,80765,78149,Southern,XYZ123,XYZ123,NA,NA,NA,NA
Bor,NNO,78058,77454,Volga,XYZ123,XYZ123,NA,NA,NA,NA
Gelendzik,KND,54980,77212,Southern,Gelendzhik,XYZ123,NA,NA,NA,NA
Usolje-Sibirskoje,IRK,83327,76846,Siberia,Usolye-Sibirskoye,XYZ123,Usolye-Sibirskoe,NA,NA,NA
Vyborg,LEN,79962,76389,North West,XYZ123,XYZ123,NA,NA,NA,NA
Balasov,SAR,82227,76032,Volga,Balashov,XYZ123,NA,NA,NA,NA
Cernogorsk,CKS,72147,75042,Siberia,Chernogorsk,XYZ123,NA,NA,NA,NA
Dubna,MOS,70663,75001,Central,XYZ123,XYZ123,NA,NA,NA,NA
Sadrinsk,KGN,77756,74929,Ural,Shadrinsk,XYZ123,NA,NA,NA,NA
Vsevolozsk,LEN,59704,74263,North West,Vsevolozhsk,XYZ123,NA,NA,NA,NA
Mineralnyje Vody,STA,76728,74141,Northern Caucasus,Mineralnye Vody,XYZ123,NA,NA,NA,NA
Jelabuga,TAT,70728,73913,Volga,Yelabuga,XYZ123,Elabuga,NA,NA,NA
Novoaltajsk,ALT,70437,73769,Siberia,Novoaltaysk,XYZ123,NA,NA,NA,NA
Troick,CEL,78372,73154,Ural,Troitsk,XYZ123,NA,NA,NA,NA
Birobidzan,JEV,75413,73129,Far East,Birobidzhan,XYZ123,NA,NA,NA,NA
Capajevsk,SAM,72692,72225,Volga,Chapayevsk,XYZ123,Chapaevsk,NA,NA,NA
Jegorjevsk,MOS,70081,72070,Central,Yegoryevsk,XYZ123,NA,NA,NA,NA
Cechov,MOS,60720,71932,Central,Chekhov,XYZ123,NA,NA,NA,NA
Belovo,KEM,76764,71812,Siberia,XYZ123,XYZ123,NA,NA,NA,NA
Vidnoje,MOS,56752,71482,Central,Vidnoye,XYZ123,Vidnoe,NA,NA,NA
