Name,Administration,Pop2014,Pop2019,city,city2,city3,city4
Horisni Plavni,POL,51958,51215,Horishni Plavni,Komsomolsk,Gorishnie Plavni / Komsomolsk,
Bilhorod-Dnistrovskyj,ODE,50105,48967,Bilhorod-Dnistrovskyi,XYZ123,,Belgorod-Dnestrovsky
Sachtarsk,DON,50468,48759,Shakhtarsk,XYZ123,,
Myrnohrad,DON,49519,47957,XYZ123,Dymytrov,,
Ochtyrka,SUM,48881,47829,Okhtyrka,XYZ123,,Akhtyrka
Izjum,CHA,51175,47430,Izium,XYZ123,,Izyum
Marhanec,DNI,48345,46616,Marhanets,XYZ123,,
Snizne,DON,48003,46377,Snizhne,XYZ123,,
Fastiv,KYI,48098,45907,XYZ123,XYZ123,,Fastov
Rovenky,LUH,47370,45898,Rovenky,XYZ123,,Rovenki
Nova Kachovka,CHE,47638,45819,Nova Kakhovka,XYZ123,,Novaya Kakhovka
Brjanka,LUH,46830,45408,Brianka,XYZ123,,
Lubny,POL,47397,45379,XYZ123,XYZ123,,
Svitlovodsk,KIR,46372,44857,Svitlovodsk,XYZ123,,Svetlovodsk
Zovti Vody,DNI,47284,44128,Zhovti Vody,XYZ123,,
Sorokyne,LUH,44014,43012,Sorokine,Krasnodon,,
Varas,RIV,41560,42350,Varash,Kuznecovsk,Varash / Kuznetsovsk,
Sepetivka,CHM,43255,41599,Shepetivka,XYZ123,,
Vysneve,KYI,38011,40919,Vyshneve,XYZ123,,
Podilsk,ODE,40717,40406,Podilsk,Kotovsk,Podolsk / Kotovsk,
Juznoukrainsk,MYK,40378,39674,Yuzhnoukrainsk,XYZ123,,
Myrhorod,POL,40876,39575,XYZ123,XYZ123,,Mirgorod
Romny,SUM,41951,39532,XYZ123,XYZ123,,
Pokrov,DNI,41152,39044,XYZ123,Ordzonikidze,Pokrov / Ordzhonikidze,
Volodymyr-Volynskyj,VOL,38964,38577,Volodymyr-Volynskyi,XYZ123,,Vladimir-Volynsky
Dzankoj,KRY,35693,38438,Dzhankoy,XYZ123,,
Inhulec,DNI,38000,38000,Inhulets,XYZ123,,
Vasylkiv,KYI,36888,37696,Vasylkiv,XYZ123,,
Dubno,RIV,38087,37563,XYZ123,XYZ123,,
Netisyn,CHM,36844,36909,Netishyn,XYZ123,,
Pervomajsk,LUH,38235,36814,Pervomaisk,XYZ123,,Pervomaysk
Kachovka,CHE,37316,35983,Kakhovka,XYZ123,,
Slavuta,CHM,35892,35444,XYZ123,XYZ123,,
Bojarka,KYI,35558,35411,Boyarka,XYZ123,,
Buca,KYI,29805,35162,Bucha,XYZ123,,
Sambir,LVI,34879,34823,XYZ123,XYZ123,,Sambor
Voznesensk,MYK,36192,34757,Voznesensk,XYZ123,,
Jasynuvata,DON,35701,34607,Yasynuvata,XYZ123,,
Starokostjantyniv,CHM,35104,34571,Starokostiantyniv,XYZ123,,
Zmerynka,VIN,35354,34498,Zhmerynka,XYZ123,,
Boryslav,LVI,34877,33537,XYZ123,XYZ123,,
Obuchiv,KYI,33180,33204,Obukhiv,XYZ123,,
Hluchiv,SUM,34282,33024,Hlukhiv,XYZ123,,Glukhov
Avdiivka,DON,35090,32843,Avdiivka,XYZ123,,
Juzne,ODE,31796,32563,Yuzhne,XYZ123,,
Toreck,DON,34750,32373,Toretsk,Dzerzynsk,Toretsk / Dzerzhinsk,
Cuhuiv,CHA,32379,31993,Chuhuiv,XYZ123,,
Kostopil,RIV,31668,31306,Kostopil,XYZ123,,
Novojavorivsk,LVI,29950,31110,Novoiavorivsk,XYZ123,,
Tokmak,ZAP,32772,31016,XYZ123,XYZ123,,
Mohyliv-Podilskyj,VIN,31832,30589,Mohyliv-Podilskyi,XYZ123,,
Synelnykove,DNI,31576,30556,Synelnykove,XYZ123,,
Alusta,KRY,28295,29963,Alushta,XYZ123,,
Vyshorod,KYI,26866,29913,Vyshhorod,XYZ123,,
Pervomajskyj,CHA,30984,29610,Pervomaiskyi,XYZ123,,
Dobropillja,DON,30884,29384,Dobropillia,XYZ123,,
Sarny,RIV,28835,29205,XYZ123,XYZ123,,
Cortkiv,TER,29662,28858,Chortkiv,XYZ123,,
Truskavec,LVI,29386,28705,Truskavets,XYZ123,,
Novyj Rozdil,LVI,28875,28530,Novyi Rozdil,XYZ123,,
Chust,ZAK,28600,28424,Khust,XYZ123,,
Persotravensk,DNI,28994,28178,Pershotravensk,XYZ123,,
Kupjansk,CHA,29247,27951,Kupiansk,XYZ123,,Kupyansk
Ternivka,DNI,28853,27929,Ternivka,XYZ123,,
Zolotonosa,CKS,28321,27818,Zolotonosha,XYZ123,,
Chmilnyk,VIN,28275,27707,Khmilnyk,XYZ123,,
Balaklija,CHA,29395,27637,Balakliia,XYZ123,,
Chrestivka,DON,28155,27614,Khrestivka,Kirovske,Kirovskoe,
Holubivka,LUH,28244,27167,XYZ123,Kirovsk,,
Perejaslav-Chmelnyckyj,KYI,27864,27088,Pereiaslav-Khmelnytskyi,XYZ123,,
Bachcysaraj,KRY,26651,26572,Bakhchysarai,XYZ123,,
Malyn,ZYT,26886,26056,XYZ123,XYZ123,,
Hajsyn,VIN,25879,25735,Haisyn,XYZ123,,
Vynohradiv,ZAK,25580,25403,XYZ123,XYZ123,,
Krasnoperekopsk,KRY,29672,25187,XYZ123,XYZ123,,
Perevalsk,LUH,25744,25160,Perevalsk,XYZ123,,
Korostysiv,ZYT,25845,25084,Korostyshiv,XYZ123,,
Slavutyc,KYI,24952,24936,Slavutych,XYZ123,,
Lebedyn,SUM,25816,24853,Lebedyn,XYZ123,,
Zdolbuniv,RIV,24693,24766,XYZ123,XYZ123,,
Saky,KRY,23391,24727,XYZ123,XYZ123,,
Olesky,CHE,25086,24639,Oleshky,Cjurupynsk,,
Debalceve,DON,25525,24583,Debaltseve,XYZ123,,
Zolociv,LVI,24119,24152,Zolochiv,XYZ123,,
Kaniv,CKS,25354,23742,XYZ123,XYZ123,,
Berehove,ZAK,24371,23732,Berehove,XYZ123,,
Brody,LVI,23803,23517,XYZ123,XYZ123,,
