city.title,country.title,N
Kirillov,Russia,6187
Mrakovo,Russia,6182
Olekminsk,Russia,6168
Ivangorod,Russia,6147
Kueda (poselok),Russia,6144
Belaya Kholunitsa,Russia,6107
Shatsk,Russia,6093
Yuzha,Russia,6079
Askarovo,Russia,6071
Zuevka,Russia,6071
Nerchinsk,Russia,6068
Gremyachinsk,Russia,6052
Pionersky,Russia,6033
Tuchkovo,Russia,6032
Chernyanka,Russia,6028
Lakhdenpokhya,Russia,6002
Vanino,Russia,5999
Vychegodsky,Russia,5997
Dorogobuzh,Russia,5982
Bolkhov,Russia,5981
Kharabali,Russia,5957
Sarmanovo,Russia,5949
Askino,Russia,5933
Rudnya,Russia,5928
Askiz,Russia,5915
Kandry,Russia,5912
Nyazepetrovsk,Russia,5904
Bodaybo,Russia,5882
Arkadak,Russia,5862
Kushnarenkovo,Russia,5853
Shakhovskaya,Russia,5830
Shilovo,Russia,5809
Shagonar,Russia,5806
Verkhneyarkeevo,Russia,5800
Kuvshinovo,Russia,5798
Novosokolniki,Russia,5797
Novoulyanovsk,Russia,5776
Udachny,Russia,5751
Kulunda,Russia,5749
Novoorsk,Russia,5742
Elan,Russia,5733
Shilka,Russia,5726
Promyshlennaya ,Russia,5718
Mogocha,Russia,5676
Kamskie Polyany,Russia,5662
Verkhoturye,Russia,5660
Novokhopersk,Russia,5660
Ust-Abakan,Russia,5640
Schuchye,Russia,5638
Mikun,Russia,5605
Troitsko-Pechorsk,Russia,5592
Kirs,Russia,5567
Korocha,Russia,5535
Temnikov,Russia,5523
Isyangulovo,Russia,5519
Dolinsk,Russia,5517
Vorsma,Russia,5491
Tolbazy,Russia,5478
Gadzhievo,Russia,5473
Kichmengskiy Gorodok,Russia,5464
Kirensk,Russia,5458
Gornyak,Russia,5451
Drezna,Russia,5441
Komsomolsky,Russia,5429
Degtyarsk,Russia,5413
Aykhal,Russia,5391
Krasnogorsky,Russia,5386
Yakhroma,Russia,5354
Selenginsk,Russia,5347
Ibresi,Russia,5334
Shatki,Russia,5332
Gvardeysk,Russia,5332
Zaozerny,Russia,5326
Svetlogorsk,Russia,5322
Biryuch,Russia,5312
Akyar,Russia,5307
Zabaykalsk,Russia,5303
Yuryevets,Russia,5266
Reftinsky,Russia,5260
Scherbinka,Russia,5254
Neya,Russia,5253
Pokrovsk,Russia,5226
Karaidel,Russia,5224
Verkhniy Tagil,Russia,5207
Suxun,Russia,5202
Chadan,Russia,5176
Svirsk,Russia,5168
Chunsky,Russia,5162
Maxatikha,Russia,5160
Andreapol,Russia,5157
Zmeinogorsk,Russia,5150
Grayvoron,Russia,5147
Sorsk,Russia,5136
Novospasskoe,Russia,5132
Zaozersk,Russia,5105
Zelenogradsk,Russia,5100
Nizhniy Odes,Russia,5095
Nevelsk,Russia,5094
Navlya,Russia,5087
Tarnogskiy Gorodok,Russia,5069
Mogoytuy,Russia,5063
Vozhega,Russia,5049
Zavolzhsk,Russia,5035
Ust-Ordynsky,Russia,5032
Soltsy,Russia,5006
Sharan,Russia,5001
Novaya Ladoga,Russia,4995
Kresttsy,Russia,4988
Bely Yar,Russia,4974
Armyansk,Russia,4971
Belinsky,Russia,4954
Sevsk,Russia,4953
Kirgiz-Miaki,Russia,4940
Zheleznodorozhny,Russia,4919
Vetluga,Russia,4916
Dedovichi,Russia,4911
Korablino,Russia,4910
Bizhbulyak,Russia,4905
Perevoz,Russia,4902
Pochinki,Russia,4895
Sterlibashevo,Russia,4879
Bolgar,Russia,4878
Ertil,Russia,4849
Minyar,Russia,4837
Ardon,Russia,4833
Krasnozavodsk,Russia,4818
Zhukov,Russia,4815
Cheremshan,Russia,4814
Urengoy,Russia,4802
Krasny Kholm,Russia,4795
Matveev Kurgan,Russia,4782
Tatarstan,Russia,4781
Sernur,Russia,4777
Suntar,Russia,4770
Tarusa,Russia,4769
Verkhnyaya Tura,Russia,4760
Krasnaya Polyana,Russia,4759
Petukhovo,Russia,4741
Seltso,Russia,4737
Lyubim,Russia,4731
Baltasi,Russia,4730
Peresvet,Russia,4717
Novaya Lyalya,Russia,4699
Suzun,Russia,4684
Dubovka,Russia,4671
Altayskoe,Russia,4668
Shira,Russia,4664
Vesyegonsk,Russia,4652
Gorodovikovsk,Russia,4651
Kiev,Russia,4645
Mariinskiy Posad,Russia,4629
Zimovniki,Russia,4623
Insar,Russia,4619
Poshekhonye,Russia,4595
Alexeevskoe,Russia,4594
Laishevo,Russia,4577
Vasilyevo,Russia,4576
Bikin,Russia,4570
Kola,Russia,4570
Chagoda,Russia,4563
Volkhov (poselok),Russia,4560
Soligalich,Russia,4555
Boguchany,Russia,4554
Zheshart,Russia,4546
Zubtsov,Russia,4545
Chulym,Russia,4536
Krasavino,Russia,4536
Verkhovazhye,Russia,4503
Kremenki,Russia,4486
Krasny Yar,Russia,4476
Chernyshevsk,Russia,4476
Mglin,Russia,4476
Pangody,Russia,4472
Alnashi,Russia,4464
Volchansk,Russia,4461
Torbeevo,Russia,4443
Vyselki,Russia,4429
Nadvoitsy,Russia,4419
Yashkino ,Russia,4414
Chamzinka,Russia,4401
Krasnoborsk,Russia,4399
Polazna,Russia,4395
Oktyabrskoe,Russia,4394
Petrov Val,Russia,4394
Pyshma,Russia,4369
Minsk,Russia,4355
Stavropolsky,Russia,4355
Khilok,Russia,4345
Makushino,Russia,4341
Dmitriev,Russia,4322
Nizhnegorsky,Russia,4317
Tomskoe,Russia,4307
Pytalovo,Russia,4295
Kavalerovo,Russia,4284
Savinsky,Russia,4275
Gdov,Russia,4272
Gorny,Russia,4252
Sharkan,Russia,4248
